list_name,name,label,admin1,admin2,admin3
admin_0,SouthSudan,Sud Soudan,,,
admin_0,Sudan,Soudan,,,
admin_0,tchad,Tchad,,,
admin_0,DRC,R‚publique D‚mocratique du Congo,,,
admin_0,cameroon,Cameroun,,,
admin_0,congo,R‚publique du Congo,,,
admin_0,other,Autre,,,
,,,,,
admin_1,Bamingui_Bangoran,Bamingui-Bangoran,,,
admin_1,Bangui,Bangui,,,
admin_1,Basse_Kotto,Basse-Kotto,,,
admin_1,Haut_Mbomou,Haut-Mbomou,,,
admin_1,Kemo,Kemo,,,
admin_1,Lobaye,Lobaye,,,
admin_1,Mambere_Kadei,Mambere-Kade‹,,,
admin_1,Mbomou,Mbomou,,,
admin_1,Nana_Gribizi,Nana-Gribizi,,,
admin_1,Nana_Mambere,Nana-Mambere,,,
admin_1,Ombella_MPoko,Ombella M'Poko,,,
admin_1,Ouaka,Ouaka,,,
admin_1,Ouham,Ouham,,,
admin_1,Ouham_Pende,Ouham Pende,,,
admin_1,Sangha_Mbaere,Sangha-Mbaere,,,
admin_1,Vakaga,Vakaga,,,
admin_1,Haute_Kotto,Haute-Kotto,,,
,,,,,
admin_2,Abba,Abba,Nana_Mambere,,
admin_2,Alindao,Alindao,Basse_Kotto,,
admin_2,Amada_Gaza,Amada-Gaza,Mambere_Kadei,,
admin_2,Baboua,Baboua,Nana_Mambere,,
admin_2,Bakala,Bakala,Ouaka,,
admin_2,Bakouma,Bakouma,Mbomou,,
admin_2,Bambari,Bambari,Ouaka,,
admin_2,Bambio,Bambio,Sangha_Mbaere,,
admin_2,Bambouti,Bambouti,Haut_Mbomou,,
admin_2,Bamingui,Bamingui,Bamingui_Bangoran,,
admin_2,Bangassou,Bangassou,Mbomou,,
admin_2,Bangui,Bangui,Bangui,,
admin_2,Baoro,Baoro,Nana_Mambere,,
admin_2,Batangafo,Batangafo,Ouham,,
admin_2,Bayanga,Bayanga,Sangha_Mbaere,,
admin_2,Berberati,Berberati,Mambere_Kadei,,
admin_2,Bimbo,Bimbo,Ombella_MPoko,,
admin_2,Birao,Birao,Vakaga,,
admin_2,Boali,Boali,Ombella_MPoko,,
admin_2,Bocaranga,Bocaranga,Ouham_Pende,,
admin_2,Boda,Boda,Lobaye,,
admin_2,Boganangone,Boganangone,Lobaye,,
admin_2,Boganda,Boganda,Lobaye,,
admin_2,Bogangolo,Bogangolo,Ombella_MPoko,,
admin_2,Bossangoa,Bossangoa,Ouham,,
admin_2,Bossembele,Bossembele,Ombella_MPoko,,
