"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"1","educ_5_ecole_acces_1","financier","total","total","admin_0","RCA",0.227
"2","wash_22_wash_reponse_1","cash_recipient_eau","total","total","admin_0","RCA",0.199
"3","mssc_2_source_rev_1","agric","total","total","admin_0","RCA",0.283
"4","wash_9_insuff_raisons_1","manque_recip","total","total","admin_0","RCA",0.248
"5","nfi_7_assistance_1","argent_materiel","total","total","admin_0","RCA",0.173
"6","educ_6_reponse_1","cash_frais","total","total","admin_0","RCA",0.205
"7","rep_souhaitee_1","secal","total","total","admin_0","RCA",0.262
"8","secal_13_reponse_1","cash_nourrit","total","total","admin_0","RCA",0.218
"9","sante_7_reponse_1","prov_medicament","total","total","admin_0","RCA",0.196
"10","wash_15_insuff_raisons_1","quantite_insuff","total","total","admin_0","RCA",0.247
"11","wash_21_wash_inquiet_1","eau","total","total","admin_0","RCA",0.343
"12","educ_5_ecole_acces_2","autre","total","total","admin_0","RCA",0.124
"13","wash_22_wash_reponse_2","cash_infra","total","total","admin_0","RCA",0.162
"14","mssc_2_source_rev_2","petit_commerce","total","total","admin_0","RCA",0.216
"15","wash_9_insuff_raisons_2","attente_longue","total","total","admin_0","RCA",0.171
"16","nfi_7_assistance_2","argent_nfi_essentiels","total","total","admin_0","RCA",0.164
"17","educ_6_reponse_2","cash_fournitures","total","total","admin_0","RCA",0.172
"18","rep_souhaitee_2","wash","total","total","admin_0","RCA",0.225
"19","secal_13_reponse_2","cash_intrant_agri","total","total","admin_0","RCA",0.184
"20","sante_7_reponse_2","cash_frais_med","total","total","admin_0","RCA",0.169
"21","wash_15_insuff_raisons_2","hygiene_insuff","total","total","admin_0","RCA",0.226
"22","wash_21_wash_inquiet_2","sanitaire","total","total","admin_0","RCA",0.229
"23","educ_5_ecole_acces_3","aucune","total","total","admin_0","RCA",0.122
"24","wash_22_wash_reponse_3","cash_hygiene","total","total","admin_0","RCA",0.153
"25","mssc_2_source_rev_3","pche","total","total","admin_0","RCA",0.0986
